Country,City,Prefix,Included channels,Setup price,Monthly price
Israel,National,972-77,0,2.50,2.50
Israel,National,972-77,2,5.00,5.00
Israel,Tel Aviv,972-3,0,2.50,2.50
Israel,Tel Aviv,972-3,2,5.00,5.00
United States,New York,1-212,0,99.00,20.00
United States,New York,1-212,2,99.00,20.00
Argentina,Buenos Aires,54-11,0,3.50,3.50
Argentina,Buenos Aires,54-11,2,6.00,6.00
Romania,Bucharest,40-31,0,2.50,2.50
Romania,Bucharest,40-31,2,5.00,5.00
France,Paris,33-1,0,1.50,1.50
France,Paris,33-1,2,5.00,5.00
United Kingdom,London,44-20,0,1.20,1.20
United Kingdom,London,44-20,2,5.00,5.00
Australia,Sydney,61-29,0,3.50,3.50
Australia,Sydney,61-29,2,5.00,5.00
United States,Los Angeles,1-213,0,1.20,1.20
United States,Los Angeles,1-213,2,5.00,5.00
Brazil,Rio De Janeiro,55-21,0,3.50,3.50
Brazil,Rio De Janeiro,55-21,2,6.00,6.00
United States,Washington DC,1-202,0,1.20,1.20
United States,Washington DC,1-202,2,5.00,5.00
United States,Los Angeles,1-323,0,1.20,1.20
United States,Los Angeles,1-323,2,5.00,5.00
United States,San Jose,1-408,0,1.20,1.20
United States,San Jose,1-408,2,5.00,5.00
United States,San Francisco,1-415,0,1.20,1.20
United States,San Francisco,1-415,2,5.00,5.00
United States,Oakland,1-510,0,1.20,1.20
United States,Oakland,1-510,2,5.00,5.00
United States,Long Beach,1-562,0,1.20,1.20
United States,Long Beach,1-562,2,5.00,5.00
United States,San Diego,1-619,0,1.20,1.20
United States,San Diego,1-619,2,5.00,5.00
United States,Covina,1-626,0,1.20,1.20
United States,Covina,1-626,2,5.00,5.00
United States,San Mateo,1-650,0,1.20,1.20
United States,San Mateo,1-650,2,5.00,5.00
United States,Ridgecrest,1-760,0,1.20,1.20
United States,Ridgecrest,1-760,2,5.00,5.00
United States,Canoga Park,1-818,0,1.20,1.20
United States,Canoga Park,1-818,2,5.00,5.00
United States,Aptos,1-831,0,1.20,1.20
United States,Aptos,1-831,2,5.00,5.00
United States,San Diego,1-858,0,1.20,1.20
United States,San Diego,1-858,2,5.00,5.00
United States,Murrieta,1-951,0,1.20,1.20
United States,Murrieta,1-951,2,5.00,5.00
United States,Ontario,1-909,0,1.20,1.20
United States,Ontario,1-909,2,5.00,5.00
United States,Walnut Creek,1-925,0,1.20,1.20
United States,Walnut Creek,1-925,2,5.00,5.00
United States,Saddleback Valley,1-949,0,1.20,1.20
United States,Saddleback Valley,1-949,2,5.00,5.00
Argentina,Mar Del Plata,54-223,0,3.50,3.50
Argentina,Mar Del Plata,54-223,2,6.00,6.00
Argentina,La Plata,54-221,0,3.50,3.50
Argentina,La Plata,54-221,2,6.00,6.00
Argentina,Mendoza,54-261,0,3.50,3.50
Argentina,Mendoza,54-261,2,6.00,6.00
Argentina,Cordoba,54-351,0,3.50,3.50
Argentina,Cordoba,54-351,2,6.00,6.00
Argentina,Rosario,54-341,0,3.50,3.50
Argentina,Rosario,54-341,2,6.00,6.00
Hungary,Szekesfehervar,36-22,0,6.00,6.00
Hungary,Szekesfehervar,36-22,2,8.00,8.00
Hungary,Zalaegerszeg,36-92,0,6.00,6.00
Hungary,Zalaegerszeg,36-92,2,8.00,8.00
Hungary,Szombathely,36-94,0,6.00,6.00
Hungary,Szombathely,36-94,2,8.00,8.00
Lithuania,Vilnius,370-5,0,2.50,2.50
Lithuania,Vilnius,370-5,2,5.00,5.00
United Kingdom,Birmingham,44-121,0,1.20,1.20
United Kingdom,Birmingham,44-121,2,5.00,5.00
United Kingdom,Manchester,44-161,0,1.20,1.20
United Kingdom,Manchester,44-161,2,5.00,5.00
United Kingdom,Glasgow,44-141,0,1.20,1.20
United Kingdom,Glasgow,44-141,2,5.00,5.00
United Kingdom,Edinburgh,44-131,0,1.20,1.20
United Kingdom,Edinburgh,44-131,2,5.00,5.00
United Kingdom,Liverpool,44-151,0,1.20,1.20
United Kingdom,Liverpool,44-151,2,5.00,5.00
United Kingdom,Cardiff,44-29,0,1.20,1.20
United Kingdom,Cardiff,44-29,2,5.00,5.00
Brazil,Sao Paulo,55-11,0,3.50,3.50
Brazil,Sao Paulo,55-11,2,6.00,6.00
United Kingdom,Northampton,44-1604,0,1.20,1.20
United Kingdom,Northampton,44-1604,2,5.00,5.00
United Kingdom,Nottingham,44-115,0,1.20,1.20
United Kingdom,Nottingham,44-115,2,5.00,5.00
United Kingdom,Leicester,44-116,0,1.20,1.20
United Kingdom,Leicester,44-116,2,5.00,5.00
Canada,Hamilton,1-905,0,1.20,1.20
Canada,Hamilton,1-905,2,5.00,5.00
Canada,Halifax,1-902,0,1.20,1.20
Canada,Halifax,1-902,2,5.00,5.00
Canada,Victoria,1-250,0,1.20,1.20
Canada,Victoria,1-250,2,5.00,5.00
Mexico,Mexico City DF,52-55,0,5.00,5.00
Mexico,Mexico City DF,52-55,2,8.00,8.00
United States,Las Vegas,1-702,0,1.20,1.20
United States,Las Vegas,1-702,2,5.00,5.00
United States,Portland,1-503,0,1.20,1.20
United States,Portland,1-503,2,5.00,5.00
United States,Seattle,1-206,0,1.20,1.20
United States,Seattle,1-206,2,5.00,5.00
United States,Spokane,1-509,0,1.20,1.20
United States,Spokane,1-509,2,5.00,5.00
United States,Reno,1-775,0,1.20,1.20
United States,Reno,1-775,2,5.00,5.00
United States,San Rafael,1-415,0,1.20,1.20
United States,San Rafael,1-415,2,5.00,5.00
United States,Palo Alto,1-650,0,1.20,1.20
United States,Palo Alto,1-650,2,5.00,5.00
