Country, Network, Prefix, Tag Name, Cost Rate (USD), Cost Connect Fee (USD), Initial Interval, Next Interval, Reject Calls
Afghanistan, Landline, 93, all, 0.279, 0.000, 60, 60, false
Afghanistan, MTN Mobile, 9376, all, 0.255, 0.000, 60, 60, false
Afghanistan, Roshan Mobile, 9379, all, 0.204, 0.000, 60, 60, false
Afghanistan, MTN Mobile, 9377, all, 0.255, 0.000, 60, 60, false
Afghanistan, Roshan Mobile, 9372, all, 0.204, 0.000, 60, 60, false
Afghanistan, AWCC Mobile, 9370, all, 0.221, 0.000, 60, 60, false
Afghanistan, Other Mobile, 9375, all, 0.219, 0.000, 60, 60, false
Afghanistan, AWCC Mobile, 9371, all, 0.221, 0.000, 60, 60, false
Afghanistan, Etisalat Mobile, 9378, all, 0.186, 0.000, 60, 60, false
Afghanistan, Etisalat Mobile, 9373, all, 0.186, 0.000, 60, 60, false
Afghanistan, Other Mobile, 9374, all, 0.200, 0.000, 60, 60, false
Albania, Special Services, 35542517, all, 1.2, 0.000, 60, 60, false
Albania, OLO Mobile, 3554252, all, 0.688, 0.000, 60, 60, false
Albania, Amc Landline, 35547, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 355450190, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35549, all, 0.214, 0.000, 60, 60, false
Albania, Amc Mobile, 35568, all, 0.463, 0.000, 60, 60, false
Albania, Amc Landline, 35581, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35557, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35572, all, 0.214, 0.000, 60, 60, false
Albania, Mobile Plus, 35566, all, 0.501, 0.000, 60, 60, false
Albania, Special Services, 355450331, all, 1.2, 0.000, 60, 60, false
Albania, Special Services, 35545751, all, 1.2, 0.000, 60, 60, false
Albania, Special Services, 35534607, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35536, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35533, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35552, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35553, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35556, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 355450000, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35527, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35586, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35526, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35547285, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35589, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35522, all, 0.214, 0.000, 60, 60, false
