Country, Source type, Destination, Cost Rate (USD), Cost Connect Fee (USD), Initial Interval, Next Interval, Reject Calls
Anguilla, Mobile, 1264, 0.065, 0.000, 60, 60, false
Anguilla, Fixed, 1264, 0.065, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268, 0.065, 0.000, 60, 60, false
Antigua and Barbuda, Fixed, 1268, 0.065, 0.000, 60, 60, false
Argentina, Fixed, 54810, 0.125, 0.000, 60, 60, false
Argentina, Fixed, -, 0.190, 0.000, 60, 60, false
Argentina, Mobile, 54810, 0.125, 0.000, 60, 60, false
Argentina, Mobile, -, 0.190, 0.000, 60, 60, false
Australia, Mobile, 611800, 0.060, 0.000, 60, 60, false
Australia, Mobile, 611300, 0.050, 0.000, 60, 60, false
Australia, Fixed, 611800, 0.060, 0.000, 60, 60, false
Australia, Fixed, 611300, 0.050, 0.000, 60, 60, false
Austria, Fixed, -, 0.105, 0.000, 60, 60, false
Austria, Mobile, -, 0.295, 0.000, 60, 60, false
Bahamas, Fixed, 1242, 0.065, 0.000, 60, 60, false
Bahamas, Mobile, 1242, 0.065, 0.000, 60, 60, false
Barbados, Fixed, 1246, 0.065, 0.000, 60, 60, false
Barbados, Mobile, 1246, 0.065, 0.000, 60, 60, false
Belarus, Mobile, 375820, 0.420, 0.000, 60, 60, false
Belarus, Mobile, 375882, 0.420, 0.000, 60, 60, false
Belarus, Fixed, 375820, 0.420, 0.000, 60, 60, false
Belarus, Fixed, 375882, 0.420, 0.000, 60, 60, false
Belgium, Fixed, 32800, 0.105, 0.000, 60, 60, false
Belgium, Mobile, 32800, 0.460, 0.000, 60, 60, false
Benin, Fixed, 22961, 0.100, 0.000, 60, 60, false
Benin, Mobile, 22961, 0.100, 0.000, 60, 60, false
Bolivia, Mobile, -, 0.245, 0.000, 60, 60, false
Bolivia, Fixed, 5915, 0.070, 0.000, 60, 60, false
Bolivia, Fixed, -, 0.245, 0.000, 60, 60, false
Bolivia, Mobile, 5915, 0.070, 0.000, 60, 60, false
Bosnia and Herzegovina, Mobile, 38770, 0.040, 0.000, 60, 60, false
Bosnia and Herzegovina, Fixed, 387800, 0.250, 0.000, 60, 60, false
Bosnia and Herzegovina, Fixed, 38770, 0.040, 0.000, 60, 60, false
Bosnia and Herzegovina, Mobile, 387800, 0.250, 0.000, 60, 60, false
Brazil, Fixed, 554003, 0.110, 0.000, 60, 60, false
Brazil, Mobile, 554003, 0.110, 0.000, 60, 60, false
Brazil, Mobile, -, 0.280, 0.000, 60, 60, false
Brazil, Fixed, -, 0.140, 0.000, 60, 60, false
British Virgin Islands, Mobile, 1284, 0.065, 0.000, 60, 60, false
British Virgin Islands, Fixed, 1284, 0.065, 0.000, 60, 60, false
Bulgaria, Fixed, -, 0.075, 0.000, 60, 60, false
Bulgaria, Mobile, -, 0.175, 0.000, 60, 60, false
Canada, Fixed, -, 0.030, 0.000, 60, 60, false
Canada, Mobile, -, 0.030, 0.000, 60, 60, false
Cayman Islands, Fixed, 1345, 0.065, 0.000, 60, 60, false
Cayman Islands, Mobile, 1345, 0.065, 0.000, 60, 60, false
Chile, Fixed, 56600, 0.095, 0.000, 60, 60, false
Chile, Fixed, -, 0.095, 0.000, 60, 60, false
Chile, Mobile, -, 0.095, 0.000, 60, 60, false
Chile, Mobile, 56600, 0.095, 0.000, 60, 60, false
China, Mobile, -, 0.160, 0.000, 60, 60, false
China, Mobile, 864008, 0.255, 0.000, 60, 60, false
China, Fixed, 864008, 0.255, 0.000, 60, 60, false
China, Fixed, -, 0.160, 0.000, 60, 60, false
Colombia, Fixed, -, 0.185, 0.000, 60, 60, false
Colombia, Mobile, -, 0.185, 0.000, 60, 60, false
Costa Rica, Fixed, -, 0.045, 0.000, 60, 60, false
Costa Rica, Mobile, -, 0.085, 0.000, 60, 60, false
Costa Rica, Unknown, -, 0.085, 0.000, 60, 60, false
Croatia, Mobile, -, 0.250, 0.000, 60, 60, false
Croatia, Payphone, -, 0.065, 0.000, 60, 60, false
Croatia, Fixed, -, 0.065, 0.000, 60, 60, false
Curacao, Mobile, 599, 0.065, 0.000, 60, 60, false
Curacao, Fixed, 599, 0.065, 0.000, 60, 60, false
Cyprus, Fixed, -, 0.043, 0.000, 60, 60, false
Cyprus, Mobile, -, 0.057, 0.000, 60, 60, false
Czech Republic, Mobile, -, 0.210, 0.000, 60, 60, false
Czech Republic, Payphone, -, 0.065, 0.000, 60, 60, false
Czech Republic, Fixed, -, 0.065, 0.000, 60, 60, false
Denmark, Fixed, -, 0.035, 0.000, 60, 60, false
Denmark, Payphone, -, 0.320, 0.000, 60, 60, false
Denmark, Mobile, -, 0.250, 0.000, 60, 60, false
Dominica, Fixed, 1767, 0.065, 0.000, 60, 60, false
Dominica, Mobile, 1767, 0.065, 0.000, 60, 60, false
Dominican Republic, Mobile, 1849200, 0.110, 0.000, 60, 60, false
Dominican Republic, Fixed, 1849200, 0.110, 0.000, 60, 60, false
